"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/ComplexSchur.h", "C++", 0, 233, 181, 49, 463
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/ComplexSchur_LAPACKE.h", "C++", 0, 52, 32, 8, 92
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/EigenSolver.h", "C++", 0, 345, 221, 57, 623
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/GeneralizedEigenSolver.h", "C++", 0, 202, 180, 37, 419
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/GeneralizedSelfAdjointEigenSolver.h", "C++", 0, 70, 130, 27, 227
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/HessenbergDecomposition.h", "C++", 0, 138, 202, 35, 375
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/MatrixBaseEigenvalues.h", "C++", 0, 61, 83, 15, 159
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/RealQZ.h", "C++", 0, 435, 162, 61, 658
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/RealSchur.h", "C++", 0, 335, 165, 59, 559
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/RealSchur_LAPACKE.h", "C++", 0, 38, 32, 8, 78
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/SelfAdjointEigenSolver.h", "C++", 0, 476, 333, 96, 905
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/SelfAdjointEigenSolver_LAPACKE.h", "C++", 0, 47, 32, 9, 88
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/Tridiagonalization.h", "C++", 0, 242, 271, 49, 562
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/AlignedBox.h", "C++", 0, 242, 181, 64, 487
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/AngleAxis.h", "C++", 0, 126, 84, 38, 248
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/EulerAngles.h", "C++", 0, 65, 38, 12, 115
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Homogeneous.h", "C++", 0, 359, 82, 61, 502
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Hyperplane.h", "C++", 0, 144, 105, 34, 283
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/OrthoMethods.h", "C++", 0, 152, 59, 25, 236
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/ParametrizedLine.h", "C++", 0, 125, 73, 35, 233
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Quaternion.h", "C++", 0, 475, 272, 124, 871
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Rotation2D.h", "C++", 0, 94, 69, 37, 200
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/RotationBase.h", "C++", 0, 115, 61, 31, 207
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Scaling.h", "C++", 0, 93, 66, 30, 189
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Transform.h", "C++", 0, 950, 448, 166, 1564
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Translation.h", "C++", 0, 113, 60, 30, 203
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Geometry/Umeyama.h", "C++", 0, 67, 69, 31, 167
